index,wer,wer_group,reference_entity_count,asr_entity_count,matched_entity_count,reference_only_count,asr_only_count
121,0.26087,10–30%,3,4,1,2,3
122,0.259259,10–30%,4,3,2,2,1
123,0.4,>30%,3,3,1,2,2
124,0.259259,10–30%,2,3,0,2,3
125,0.24,10–30%,5,5,2,3,3
126,0.178571,10–30%,8,8,5,3,3
127,0.2,10–30%,0,0,0,0,0
128,0.173913,10–30%,1,0,0,1,0
129,0.2,10–30%,2,8,2,0,6
130,0.35,>30%,4,1,0,4,1
131,0.263158,10–30%,2,1,0,2,1
132,0.064516,0–10%,7,5,4,3,1
133,0.096774,0–10%,2,2,2,0,0
134,0.133333,10–30%,4,4,4,0,0
135,0.117647,10–30%,2,2,2,0,0
136,0.333333,>30%,1,1,0,1,1
137,0.241379,10–30%,4,5,2,2,3
138,0.074074,0–10%,2,2,2,0,0
139,0.294118,10–30%,2,3,1,1,2
140,0.16,10–30%,2,2,0,2,2
141,0.346154,>30%,5,4,1,4,3
142,0.5,>30%,2,0,0,2,0
143,0.473684,>30%,1,3,0,1,3
144,0.15,10–30%,0,0,0,0,0
145,0.736842,>30%,1,0,0,1,0
146,0.185185,10–30%,2,1,0,2,1
147,0.142857,10–30%,3,2,2,1,0
148,0.538462,>30%,1,0,0,1,0
149,0.185185,10–30%,4,5,3,1,2
150,0.176471,10–30%,5,4,2,3,2
151,0.107143,10–30%,3,4,3,0,1
152,0.1,0–10%,4,4,4,0,0
153,0.5,>30%,0,0,0,0,0
154,0.272727,10–30%,3,3,0,3,3
155,0.238095,10–30%,3,3,1,2,2
156,0.117647,10–30%,1,1,1,0,0
157,0.15,10–30%,3,6,3,0,3
158,0.055556,0–10%,2,3,1,1,2
159,0.125,10–30%,4,4,3,1,1
160,0.235294,10–30%,0,0,0,0,0
161,0.357143,>30%,1,1,1,0,0
162,0.473684,>30%,4,0,0,4,0
163,0.238095,10–30%,1,2,1,0,1
164,0.238095,10–30%,5,4,2,3,2
165,0.259259,10–30%,3,4,1,2,3
166,0.3,10–30%,3,2,0,3,2
167,0.421053,>30%,2,1,1,1,0
168,0.115385,10–30%,3,2,1,2,1
169,0.142857,10–30%,8,8,7,1,1
170,0.315789,>30%,2,3,2,0,1
171,0.388889,>30%,4,2,2,2,0
172,0.263158,10–30%,2,2,2,0,0
173,0.4,>30%,3,1,1,2,0
174,0.15,10–30%,1,1,1,0,0
175,0.25,10–30%,1,0,0,1,0
176,0.058824,0–10%,2,2,2,0,0
177,0.315789,>30%,1,2,0,1,2
178,0.47619,>30%,2,2,1,1,1
179,0.263158,10–30%,2,1,0,2,1
180,0.142857,10–30%,4,4,2,2,2
181,0.307692,>30%,2,2,1,1,1
182,0.3,10–30%,1,0,0,1,0
183,0.24,10–30%,4,2,1,3,1
184,0.148148,10–30%,1,1,1,0,0
185,0.4375,>30%,1,0,0,1,0
186,0.25,10–30%,1,0,0,1,0
187,0.263158,10–30%,2,0,0,2,0
188,0.157895,10–30%,0,0,0,0,0
189,0.117647,10–30%,3,4,2,1,2
190,0.12,10–30%,1,1,1,0,0
191,0.521739,>30%,2,2,2,0,0
192,0.190476,10–30%,3,3,2,1,1
193,0.2,10–30%,2,2,1,1,1
194,0.363636,>30%,3,2,0,3,2
195,0.157895,10–30%,1,1,1,0,0
196,0.416667,>30%,1,0,0,1,0
197,0.083333,0–10%,0,0,0,0,0
198,0.294118,10–30%,4,2,1,3,1
199,0.2,10–30%,1,1,1,0,0
200,0.166667,10–30%,4,4,4,0,0
